visit_id,confirm_count,start_count,step_1_count,step_2_count,step_3_count,confirm_time,start_time,step_1_time,step_2_time,step_3_time,client_id,visitor_id,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth
397651100_72487012874_416096,0,1,1,1,1,0.0,20.0,10.0,130.0,102.0,648890,275012080_8493371858,14.0,170.0,40.5,M,2.0,80917.91,1.0,4.0
39775533_71402081698_422353,0,1,1,1,1,0.0,23.0,60.0,194.0,54.0,4767901,463358441_22825397620,12.0,155.0,51.5,M,2.0,39266.97,6.0,9.0
397799295_60071765947_476430,0,1,0,0,0,0.0,30.0,0.0,0.0,0.0,3604047,479735298_37778168426,23.0,281.0,69.0,M,2.0,86773.26,6.0,9.0
397820815_9252358161_526582,0,1,1,2,2,0.0,24.0,27.0,65.0,75.5,7570418,817285742_93185023118,7.0,94.0,62.5,U,3.0,150724.11,4.0,7.0
397869174_7881337753_49775,0,1,1,1,1,0.0,4.0,21.0,229.0,29.0,4565926,22864779_64340501297,16.0,199.0,48.0,M,2.0,462285.66,5.0,8.0
397960314_21834694756_415135,0,1,1,1,0,0.0,5.0,20.0,8.0,0.0,1822468,438380568_77748566826,13.0,166.0,33.5,F,3.0,540510.42,6.0,9.0
397996470_49765975765_413193,0,1,1,1,1,0.0,96.0,7.0,193.0,46.0,3689198,104163896_54254179751,21.0,253.0,20.5,M,3.0,99863.15,3.0,6.0
398058664_6199127566_633780,0,1,1,1,1,0.0,13.0,30.0,110.0,76.0,7632776,249984126_44669330795,16.0,192.0,42.5,M,2.0,33051.73,6.0,9.0
398067160_74086465760_674310,1,3,4,4,3,523.0,43.75,48.666666666666664,30.166666666666668,99.5,7725213,132749929_1445367000,7.0,86.0,63.0,U,2.0,277747.16,2.0,5.0
398172442_76953581779_648261,0,1,1,1,1,0.0,7.0,19.0,103.0,46.0,3563175,748143363_73238414241,5.0,60.0,32.0,M,2.0,49669.22,6.0,9.0
398213982_59048220732_676428,0,1,0,0,0,0.0,9.0,0.0,0.0,0.0,3002873,263544597_6184113620,6.0,79.0,43.5,M,2.0,281602.21,5.0,8.0
398224775_40775695105_387329,0,1,1,1,1,0.0,12.0,8.0,105.0,46.0,9377464,439224513_8642280885,9.0,119.0,49.5,F,2.0,149106.77000000002,2.0,5.0
398232914_1378844119_407166,1,2,3,3,1,221.0,9.5,10.5,78.0,24.0,5020449,803143862_17136155877,10.0,125.0,42.0,M,2.0,48294.72,2.0,5.0
398253393_12308466578_47985,0,1,1,1,1,0.0,68.0,52.0,60.0,832.0,3007715,688778864_18478976185,6.0,83.0,54.5,U,2.0,471636.47,6.0,9.0
398268105_24488544748_994672,0,1,0,0,0,0.0,45.0,0.0,0.0,0.0,3495059,82156209_22623513258,4.0,56.0,32.5,U,2.0,52661.89,6.0,9.0
398531234_13671095512_796222,0,1,2,2,3,0.0,166.0,117.0,48.0,284.3333333333333,906669,601148150_45724356289,10.0,121.0,70.5,U,3.0,113132.41,6.0,9.0
398548988_67470724351_712200,0,1,1,0,0,0.0,64.0,34.0,0.0,0.0,9575481,124964769_39702777061,15.0,184.0,55.0,M,2.0,294543.87,5.0,8.0
398594292_27341270989_631839,0,3,2,1,0,0.0,41.333333333333336,14.5,140.0,0.0,5824205,400219743_98824044429,18.0,217.0,55.0,M,2.0,348422.26,5.0,8.0
3986084_45529233769_184208,0,1,1,1,0,0.0,10.0,4.0,65.0,0.0,8207810,613902442_46361269648,6.0,76.0,39.5,U,2.0,1080413.98,6.0,9.0
398620181_23413084330_814727,0,1,1,1,1,0.0,88.0,9.0,153.0,79.0,1364356,502035693_34400521592,5.0,65.0,26.5,U,2.0,58874.04,1.0,4.0
398622059_93606549792_608349,0,1,0,0,0,0.0,6.0,0.0,0.0,0.0,4645740,780025405_85652158906,9.0,111.0,54.0,F,2.0,23878.61,1.0,4.0
398672151_19628564060_355005,0,1,1,1,1,0.0,29.0,11.0,317.0,173.0,1472953,229694930_45478686818,21.0,258.0,27.5,M,3.0,296957.53,2.0,5.0
398700809_11812054643_627601,1,0,0,0,2,2324.0,0.0,0.0,0.0,21.5,8155386,257870095_96262801644,6.0,75.0,62.0,U,2.0,71151.14,3.0,6.0
39873767_21987460452_14006,0,3,3,3,3,0.0,35.333333333333336,6.333333333333333,101.33333333333333,479.6666666666667,2120119,531599481_19382590732,23.0,287.0,48.5,F,2.0,29013.25,5.0,8.0
398769061_4473436010_512660,0,1,1,1,1,0.0,7.0,58.0,93.0,73.0,5782971,135819215_70014646688,20.0,244.0,44.5,F,3.0,75090.23999999999,2.0,5.0
398785891_24350657403_114724,0,1,1,1,1,0.0,6.0,21.0,27.0,41.0,1721428,446100601_50935442759,8.0,101.0,67.0,M,5.0,901839.71,6.0,9.0
398874822_85136545117_512391,0,1,1,1,1,0.0,7.0,59.0,192.0,27.0,5970242,856950800_13930775469,8.0,102.0,31.0,U,2.0,25835.61,1.0,4.0
398910508_10727199684_814542,0,1,1,1,1,0.0,15.0,5.0,132.0,98.0,7040441,235999258_69960657844,9.0,119.0,32.0,M,2.0,24287.69,2.0,5.0
3989209_25730548986_930181,0,1,1,1,1,0.0,21.0,39.0,87.0,77.0,4690123,404343629_97732331259,15.0,188.0,50.5,M,3.0,110268.48,1.0,4.0
398951459_63830216560_780515,0,1,1,1,0,0.0,27.0,22.0,66.0,0.0,8996652,746983162_20225837997,20.0,242.0,49.0,F,2.0,43528.34,5.0,8.0
398979218_7478046248_206984,0,0,0,0,1,0.0,0.0,0.0,0.0,66.0,4057296,127755747_60762462737,4.0,58.0,38.5,U,2.0,30636.55,1.0,4.0
399010551_79002872448_620471,0,1,1,1,1,0.0,22.0,95.0,73.0,126.0,7442839,789240770_99067865463,19.0,229.0,42.5,F,2.0,75496.13,0.0,3.0
399117315_97253230868_214911,0,1,1,1,1,0.0,19.0,19.0,142.0,43.0,8863840,71196758_84148813200,5.0,70.0,65.5,U,2.0,244768.82,1.0,4.0
39913388_91103020890_454025,0,3,1,1,1,0.0,27.333333333333332,12.0,91.0,28.0,8430354,81739143_47227365280,4.0,58.0,24.0,U,2.0,64599.97,6.0,9.0
399150761_59150062560_478901,0,1,0,0,0,0.0,18.0,0.0,0.0,0.0,556775,504976297_93978799522,7.0,90.0,20.5,U,2.0,37037.37,0.0,3.0
399236233_74144965113_925702,0,1,4,5,2,0.0,4.0,10.75,48.6,45.5,3201142,932376436_15487088005,5.0,64.0,35.5,U,3.0,137134.01,6.0,9.0
399239116_8180887842_926783,0,1,0,0,0,0.0,25.0,0.0,0.0,0.0,3517942,575737140_39314336847,26.0,322.0,77.0,F,2.0,403907.35,1.0,4.0
399243526_17229140107_339108,0,1,1,1,1,0.0,9.0,14.0,62.0,21.0,1011046,586529835_2776793240,16.0,199.0,33.0,M,3.0,213909.58,6.0,9.0
399245148_65563281424_572325,0,1,1,1,0,0.0,21.0,35.0,154.0,0.0,8515834,688521175_5555499945,14.0,171.0,44.0,M,2.0,114367.36,1.0,4.0
399254405_58932353105_435212,0,4,0,0,0,0.0,279.5,0.0,0.0,0.0,7148673,973823348_45097856079,8.0,106.0,44.0,M,2.0,78541.11,5.0,8.0
399300412_25370307044_997019,0,3,0,0,0,0.0,90.33333333333333,0.0,0.0,0.0,583207,370675747_28941492451,7.0,95.0,61.0,U,4.0,735689.62,4.0,7.0
399316969_52913347399_833272,0,1,0,0,0,0.0,72.0,0.0,0.0,0.0,1341853,273844023_75194930504,8.0,106.0,81.0,F,2.0,426599.76,6.0,9.0
399357739_77747115585_373639,0,1,1,2,2,0.0,6.0,13.0,60.5,17.5,8213887,981499374_60443117534,11.0,143.0,37.0,U,2.0,141868.43,1.0,4.0
399390886_96155628922_902331,0,0,0,1,1,0.0,0.0,0.0,47.0,56.0,9522933,763004087_33158308348,7.0,91.0,69.0,U,2.0,74123.43,4.0,7.0
